Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Nicolas Pépé;19.0;FW;28-238;64;0;0;0;0;1;0;0;0;1;1;0;13;0;1;0;;
Jeremie Boga;13.0;FW,MF;27-019;26;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;;
Christian Kouamé;20.0;FW;26-047;64;0;0;0;0;2;1;1;0;2;0;0;0;0;0;0;;
Karim Konaté;10.0;FW;19-307;26;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;;
Oumar Diakité;14.0;FW;20-033;83;0;0;0;0;1;0;0;0;6;0;0;7;1;1;0;;
Max Gradel;15.0;FW,MF;36-053;7;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;;
Seko Fofana;6.0;CM;28-260;90;0;0;0;0;3;0;0;0;1;1;0;1;0;0;0;;
Ibrahim Sangaré;18.0;CM;26-051;90;0;0;0;0;3;1;0;0;3;5;1;2;1;1;0;;
Franck Kessié;8.0;DM;27-034;90;0;0;0;0;1;0;0;0;0;1;0;0;2;2;0;;
Ghislain Konan;3.0;LB;28-026;63;0;0;0;0;1;0;0;0;1;2;0;3;0;0;0;;
Jean-Philippe Krasso;11.0;FW;26-189;27;0;0;0;0;2;1;0;0;1;1;1;0;0;0;0;;
Obite N'Dicka;21.0;CB;24-155;90;0;0;0;0;1;0;0;0;0;3;0;0;1;1;0;;
Willy Boly;12.0;CB;32-353;83;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;;
Simon Adingra;24.0;FW,MF;22-021;7;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;;
Wilfried Singo;5.0;RB;23-028;90;0;0;0;0;0;0;0;0;1;6;0;3;2;1;0;;
Yahia Fofana;1.0;GK;23-154;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
