Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Seko Fofana;6;FW;28-267;78;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;;
Christian Kouamé;20;FW,MF;26-054;42;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;;
Jean-Philippe Krasso;11;FW;26-196;71;0;0;0;0;0;0;0;0;3;1;0;0;2;0;0;;
Sébastien Haller;22;FW;29-221;49;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;;
Max Gradel;15;LW;36-060;63;0;0;0;0;0;0;0;0;2;3;0;5;0;0;0;;
Simon Adingra;24;FW,MF;22-028;57;0;0;0;0;1;0;0;0;1;1;1;1;2;0;0;;
Oumar Diakité;14;RW;20-040;64;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;;
Nicolas Pépé;19;FW,MF;28-245;56;0;0;0;0;1;1;0;0;0;2;0;2;0;1;0;;
Jean Seri;4;CM;32-194;120;0;0;0;0;0;0;1;0;2;3;0;3;3;2;0;;
Ibrahim Sangaré;18;CM;26-058;72;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;;
Franck Kessié;8;DF,MF;27-041;48;1;0;1;1;3;2;0;0;2;3;0;0;0;0;0;;
Ghislain Konan;3;LB;28-033;120;0;0;0;0;0;0;0;0;2;0;0;4;1;1;0;;
Obite N'Dicka;21;CB;24-162;120;0;0;0;0;0;0;0;0;2;2;0;0;1;1;0;;
Odilon Kossonou;7;CB;23-025;115;0;0;0;0;0;0;0;0;3;1;0;0;3;1;0;;
Wilfried Singo;5;DF,MF;23-035;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Serge Aurier;17;RB;31-036;120;0;0;0;0;1;0;1;0;4;1;0;5;1;0;0;;
Yahia Fofana;1;GK;23-161;120;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
