Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Christian Kouamé;20.0;FW;26-059;45;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;;
Sébastien Haller;22.0;FW;29-226;75;0;0;0;0;1;0;0;0;1;3;0;0;1;0;0;;
Max Gradel;15.0;FW;36-065;72;0;0;0;0;0;0;0;0;2;3;0;3;0;0;0;;
Oumar Diakité;14.0;FW;20-045;47;1;0;0;0;2;1;2;1;2;3;0;0;3;1;0;;
Nicolas Pépé;19.0;FW;28-250;44;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;;
Wilfried Singo;5.0;DF,MF;23-040;76;0;0;0;0;3;1;0;0;0;2;0;1;4;1;0;;
Seko Fofana;6.0;CM;28-272;120;0;1;0;0;3;0;0;0;1;4;0;0;0;2;0;;
Franck Kessié;8.0;CM;27-046;120;0;0;0;0;0;0;0;0;2;6;0;2;2;3;0;;
Jean Seri;4.0;DM;32-199;85;0;0;0;0;0;0;0;0;1;1;0;2;0;2;0;;
Simon Adingra;24.0;FW,MF;22-033;35;1;0;0;0;1;1;0;0;1;1;1;2;1;0;0;;
Ghislain Konan;3.0;LB;28-038;120;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;;
Obite N'Dicka;21.0;CB;24-167;120;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
Odilon Kossonou;7.0;CB;23-030;42;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;;
Serge Aurier;17.0;RB;31-041;45;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;;
Willy Boly;12.0;DF;33-000;75;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;;
Yahia Fofana;1.0;GK;23-166;120;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;;
