Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Sébastien Haller;22.0;FW;29-230;89;1;0;0;0;5;1;0;0;2;1;0;0;0;0;0;;
Jean-Philippe Krasso;11.0;FW;26-205;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
Simon Adingra;24.0;FW;22-037;79;0;0;0;0;1;0;0;0;1;1;0;7;0;1;0;;
Jonathan Bamba;9.0;FW,MF;27-318;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
Max Gradel;15.0;FW;36-069;89;0;1;0;0;2;0;0;0;3;2;0;5;0;0;0;;
Jeremie Boga;13.0;FW,MF;27-035;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Seko Fofana;6.0;CM;28-276;60;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;;
Ibrahim Sangaré;18.0;MF;26-067;30;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
Franck Kessié;8.0;CM;27-050;90;0;0;0;0;3;1;0;0;2;2;0;0;0;0;0;;
Jean Seri;4.0;DM;32-203;60;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;;
Jean Thierry Lazare;27.0;MF;25-337;30;0;0;0;0;1;0;0;0;0;3;0;1;1;1;0;;
Ghislain Konan;3.0;LB;28-042;90;0;0;0;0;0;0;0;0;1;0;0;3;2;1;0;;
Obite N'Dicka;21.0;CB;24-171;90;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;;
Willy Boly;12.0;CB;33-004;90;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;;
Wilfried Singo;5.0;RB;23-044;90;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;;
Yahia Fofana;1.0;GK;23-170;90;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
