Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG
Sébastien Haller;22;FW;29-234;86;1;0;0;0;4;1;0;0;1;1;0;0;0;0;0
Jean-Philippe Krasso;11;FW;26-209;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Simon Adingra;24;FW;22-041;90;0;2;0;0;2;1;0;0;1;3;0;8;1;0;0
Max Gradel;15;FW;36-073;69;0;0;0;0;2;1;0;0;2;3;0;8;0;0;0
Oumar Diakité;14;FW;20-053;21;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
Seko Fofana;6;CM;28-280;87;0;0;0;0;2;2;1;0;3;1;0;0;2;0;0
Ibrahim Sangaré;18;MF;26-071;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Franck Kessié;8;CM;27-054;90;1;0;0;0;2;2;0;0;0;4;0;3;1;0;0
Jean Seri;4;DM;32-207;89;0;0;0;0;1;0;0;0;2;1;0;2;1;2;0
Jean Thierry Lazare;27;MF;25-341;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ghislain Konan;3;LB;28-046;90;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0
Obite N'Dicka;21;CB;24-175;90;0;0;0;0;2;0;1;0;2;1;0;0;0;0;0
Odilon Kossonou;7;CB;23-038;90;0;0;0;0;2;1;0;0;0;2;0;0;0;1;0
Serge Aurier;17;RB;31-049;69;0;0;0;0;0;0;1;0;1;0;0;4;0;2;0
Wilfried Singo;5;DF,MF;23-048;21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Yahia Fofana;1;GK;23-174;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
