Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Cédric Bakambu;17.0;FW;32-302;68;0;0;0;0;1;0;0;0;4;3;0;1;0;0;0;;
Simon Banza;23.0;FW,MF;27-178;22;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;;
Yoane Wissa;20.0;AM;27-157;69;0;0;0;0;1;1;0;0;1;2;0;1;2;1;0;;
Fiston Mayele;19.0;FW;29-228;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Gaël Kakuta;14.0;AM;32-231;45;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;;
Theo Bongonda;10.0;FW,MF;28-079;45;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;
Meschak Elia;13.0;AM;26-185;77;0;0;0;0;1;0;0;0;1;0;1;6;0;0;0;;
Silas Katompa;11.0;DF,FW;25-124;13;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;
Charles Pickel;18.0;DM;26-268;69;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;
Aaron Tshibola;6.0;MF;29-036;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Samuel Moutoussamy;8.0;DM;27-179;90;0;0;0;0;1;0;0;0;1;1;0;1;2;0;0;;
Arthur Masuaku;26.0;LB;30-092;90;0;0;0;0;0;0;0;0;2;3;0;9;2;0;0;;
Baka Inonga;2.0;CB;29-074;90;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;;
Chancel Mbemba;22.0;CB;29-183;90;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;;
Gedeon Kalulu;24.0;RB;26-162;90;0;0;0;0;0;0;0;0;2;0;0;2;3;0;0;;
Lionel Mpasi;1.0;GK;29-190;90;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
16 Players;;;;990;0;0;0;0;7;2;0;0;17;13;1;20;11;4;0;;
