Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Mama Samba Baldé;17.0;FW;28-068;84;0;0;0;0;1;1;0;0;0;2;0;0;2;1;0;;
Dálcio;7.0;FW,MF;27-236;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;
Carlos Mané;10.0;AM;29-308;66;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;;
Franculino Djú;3.0;FW;19-199;24;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;
Moreto Cassamã;16.0;AM;25-331;66;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;;
Carlos Mendes Gomes;13.0;FW,MF;25-060;24;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;
Mauro Rodrigues;14.0;AM;22-273;74;0;0;0;0;0;0;0;0;1;1;0;3;1;2;0;;
Zé Turbo;24.0;FW;27-083;16;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;;
Janio Bikel;19.0;DM;28-199;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alfa Semedo;8.0;DM;26-136;90;0;0;0;0;1;0;0;0;1;3;0;0;0;2;0;;
Fali Candé;2.0;LB;25-354;90;0;0;0;0;1;0;0;0;2;0;1;3;0;2;0;;
Marcelo Djaló;4.0;CB;30-097;90;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;
Opa Sanganté;22.0;CB;32-346;90;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;;
Jefferson Encada;15.0;RB;25-271;90;0;0;0;0;1;0;0;0;1;0;0;0;3;1;0;;
Ouparine Djoco;12.0;GK;25-266;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15 Players;;;;990;0;0;0;0;10;3;1;0;11;9;1;8;10;9;0;;
