Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Emilio Nsue;10.0;FW;34-114;77;2;0;0;0;2;2;0;0;4;1;0;0;0;0;0;;
Óscar Siafa;27.0;FW;26-132;13;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;
Pepín;7.0;FW;27-161;84;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;;
Benzema;20.0;MF;23-117;6;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;;
José Antonio Miranda;17.0;LW;25-184;55;0;0;0;0;0;0;1;0;4;6;0;0;1;0;0;;
Jannick;8.0;MF;25-108;35;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;
Iván Salvador;6.0;RW;28-042;77;0;0;0;0;0;0;0;0;3;3;0;0;3;0;0;;
Nlavo;19.0;FW;22-197;13;0;0;0;0;3;2;0;0;1;1;0;0;1;0;0;;
Federico Bikoro;4.0;CM;27-311;90;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;;
Pablo Ganet;22.0;CM;29-079;84;1;0;0;0;1;1;0;0;3;1;0;2;0;1;0;;
Alex Balboa;14.0;MF;22-322;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Basilio Owono;11.0;LB;25-005;90;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;;
Saúl Coco;16.0;CB;24-347;90;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;;
Esteban;21.0;CB;25-260;90;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;;
Carlos Akapo;15.0;RB;30-316;90;0;1;0;0;0;0;0;0;2;0;0;0;2;1;0;;
Jesús Owono;1.0;GK;22-327;90;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;;
16 Players;;;;990;4;2;0;0;10;7;3;0;22;20;0;2;11;5;0;;
