Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Jean-Philippe Krasso;11.0;FW;26-185;83;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;;
Karim Konaté;10.0;FW;19-303;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Jeremie Boga;13.0;FW;27-015;66;0;0;0;0;0;0;0;0;0;1;1;4;1;0;0;;
Nicolas Pépé;19.0;FW,MF;28-234;24;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;;
Christian Kouamé;20.0;FW;26-043;66;0;0;0;0;2;1;0;0;1;1;1;1;0;0;0;;
Jonathan Bamba;9.0;FW,MF;27-298;24;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;
Franck Kessié;8.0;CM;27-030;90;0;0;0;0;0;0;0;0;3;2;0;1;1;0;0;;
Seko Fofana;6.0;CM;28-256;90;0;0;0;0;5;1;0;0;0;1;0;2;0;0;0;;
Ibrahim Sangaré;18.0;DM;26-047;90;0;0;0;0;2;0;0;0;2;2;0;1;1;0;0;;
Ghislain Konan;3.0;LB;28-022;79;0;0;0;0;0;0;0;0;1;2;0;2;2;1;0;;
Oumar Diakité;14.0;FW;20-029;11;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;;
Obite N'Dicka;21.0;CB;24-151;90;0;0;0;0;3;1;0;0;3;0;0;0;0;0;0;;
Ousmane Diomande;2.0;CB;20-045;90;0;0;0;0;1;0;0;0;2;6;0;0;0;1;0;;
Serge Aurier;17.0;RB;31-025;66;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;;
Wilfried Singo;5.0;DF,MF;23-024;24;0;0;0;0;0;0;0;0;0;1;0;5;1;1;0;;
Yahia Fofana;1.0;GK;23-150;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16 Players;;;;990;0;0;0;0;14;3;0;0;16;17;3;27;9;3;0;;
