Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Lassine Sinayoko;25.0;FW;24-057;88;0;0;0;0;0;0;0;0;3;5;0;3;0;0;0;;
Mamadou Fofana;15.0;DF,MF;26-013;32;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
Adama Traoré;21.0;FW;28-220;62;0;0;0;1;2;1;1;0;1;2;0;1;0;0;0;;
Nene Dorgeles;27.0;FW;21-042;58;1;0;0;0;2;1;0;0;0;3;1;3;1;1;0;;
Kamory Doumbia;26.0;AM;20-350;89;0;0;0;0;0;0;0;0;6;1;0;4;4;0;0;;
Yves Bissouma;10.0;MF;27-157;31;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;
Amadou Haidara;4.0;DM;26-003;61;0;0;0;0;3;1;1;0;2;0;0;0;2;0;0;;
Fousseni Diabaté;19.0;FW,MF;28-108;59;0;0;0;0;0;0;0;0;2;3;0;7;0;0;0;;
Diadie Samassékou;8.0;DM;28-023;101;0;1;0;0;0;0;0;0;3;1;0;0;3;4;0;;
Ibrahim Sissoko;9.0;FW,MF;28-068;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Lassana Coulibaly;11.0;DM;27-299;88;0;0;0;0;0;0;1;0;5;0;0;0;2;1;0;;
Boubacar Traoré;24.0;MF;22-167;32;0;0;0;0;1;1;0;0;2;0;0;0;2;0;0;;
Falaye Sacko;17.0;LB;28-278;120;0;0;0;0;0;0;0;0;1;1;0;0;3;1;0;;
Sikou Niakaté;6.0;CB;24-208;120;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;;
Boubakar Kouyaté;5.0;CB;26-294;120;0;0;0;0;2;0;0;0;3;0;0;0;1;0;0;;
Hamari Traoré;2.0;RB;32-007;119;0;0;0;0;0;0;0;1;1;0;0;6;1;0;0;;
Djigui Diarra;16.0;GK;28-341;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17 Players;;;;1319;1;1;0;1;11;4;3;1;30;17;2;24;21;8;0;;
